Season,Lg,Tm,W,L,Finish,Age,Ht.,Wt.,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2019-20,NBA,BOS,43,21,2,25.3,5-Jun,216,64,15485,2634,5735,0.459,794,2190,0.363,1840,3545,0.519,1170,1461,0.801,683,2259,2942,1459,529,358,873,1368,7232
2018-19,NBA,BOS,49,33,3,25.7,6-Jun,221,82,19780,3451,7423,0.465,1032,2829,0.365,2419,4594,0.527,1282,1598,0.802,804,2849,3653,2155,706,435,1052,1670,9216
2017-18,NBA,BOS,55,27,2,24.7,6-Jun,221,82,19805,3141,6975,0.45,939,2492,0.377,2202,4483,0.491,1308,1697,0.771,767,2878,3645,1842,604,373,1149,1618,8529
2016-17,NBA,BOS,53,29,1,25.9,5-Jun,219,82,19755,3168,6978,0.454,985,2742,0.359,2183,4236,0.515,1536,1903,0.807,744,2698,3442,2069,617,340,1088,1686,8857
2015-16,NBA,BOS,48,34,2,25.2,5-Jun,220,82,19780,3216,7318,0.439,717,2142,0.335,2499,5176,0.483,1520,1929,0.788,950,2733,3683,1981,752,348,1127,1796,8669
2014-15,NBA,BOS,40,42,2,25,6-Jun,221,82,19880,3193,7211,0.443,660,2021,0.327,2533,5190,0.488,1266,1678,0.754,910,2685,3595,2009,674,294,1133,1738,8312
2013-14,NBA,BOS,25,57,4,25.4,6-Jun,221,82,19730,2996,6883,0.435,575,1729,0.333,2421,5154,0.47,1325,1706,0.777,980,2505,3485,1726,584,343,1261,1743,7892
2012-13,NBA,BOS,41,40,3,29.1,6-Jun,214,81,19840,3001,6459,0.465,498,1390,0.358,2503,5069,0.494,1318,1698,0.776,654,2533,3187,1843,667,365,1181,1717,7818
2011-12,NBA,BOS,39,27,1,29.3,6-Jun,213,66,15940,2341,5086,0.46,363,988,0.367,1978,4098,0.483,1017,1308,0.778,509,2051,2560,1557,498,362,979,1315,6062
2010-11,NBA,BOS,56,26,1,29.5,6-Jun,223,82,19780,3023,6219,0.486,408,1119,0.365,2615,5100,0.513,1459,1895,0.77,639,2542,3181,1921,676,344,1195,1678,7913
2009-10,NBA,BOS,50,32,1,29.4,6-Jun,219,82,19780,3039,6294,0.483,499,1433,0.348,2540,4861,0.523,1559,2090,0.746,716,2449,3165,1930,701,402,1219,1816,8136
2008-09,NBA,BOS,62,20,1,27.8,6-Jun,222,82,19880,3075,6333,0.486,538,1355,0.397,2537,4978,0.51,1587,2075,0.765,869,2586,3455,1862,621,387,1280,1897,8275
2007-08,NBA,BOS,66,16,1,27.9,6-Jun,220,82,19755,2986,6286,0.475,596,1564,0.381,2390,4722,0.506,1677,2176,0.771,830,2615,3445,1833,696,379,1246,1864,8245
2006-07,NBA,BOS,24,58,5,23.5,6-Jun,221,82,19855,2858,6454,0.443,471,1283,0.367,2387,5171,0.462,1670,2178,0.767,918,2391,3309,1630,589,382,1350,1971,7857
2005-06,NBA,BOS,33,49,3,25.3,7-Jun,227,82,19880,2951,6322,0.467,467,1290,0.362,2484,5032,0.494,1664,2204,0.755,813,2432,3245,1716,578,422,1359,2033,8033
2004-05,NBA,BOS,45,37,1,27.1,7-Jun,218,82,19880,3046,6511,0.468,437,1252,0.349,2609,5259,0.496,1775,2323,0.764,909,2438,3347,1810,667,423,1297,2000,8304
2003-04,NBA,BOS,36,46,4,26.4,7-Jun,218,82,19705,2843,6415,0.443,553,1599,0.346,2290,4816,0.475,1572,2095,0.75,851,2440,3291,1683,770,331,1332,1837,7811
2002-03,NBA,BOS,44,38,3,26.9,6-Jun,218,82,19830,2700,6509,0.415,719,2155,0.334,1981,4354,0.455,1480,1994,0.742,849,2471,3320,1575,720,303,1147,1758,7599
2001-02,NBA,BOS,49,33,2,26.2,6-Jun,220,82,19830,2852,6731,0.424,699,1946,0.359,2153,4785,0.45,1498,1960,0.764,891,2570,3461,1722,793,292,1114,1776,7901
2000-01,NBA,BOS,36,46,5,25.9,6-Jun,221,82,19830,2773,6485,0.428,592,1633,0.363,2181,4852,0.45,1621,2190,0.74,897,2367,3264,1708,769,336,1285,1952,7759
1999-00,NBA,BOS,35,47,5,25.4,6-Jun,218,82,19730,3054,6880,0.444,417,1260,0.331,2637,5620,0.469,1621,2175,0.745,1108,2420,3528,1741,795,286,1259,2223,8146
1998-99,NBA,BOS,19,31,5,24.3,6-Jun,215,50,12150,1816,4164,0.436,273,758,0.36,1543,3406,0.453,745,1077,0.692,680,1458,2138,1073,453,255,807,1193,4650
1997-98,NBA,BOS,36,46,6,23.9,6-Jun,209,82,19730,3012,6934,0.434,415,1249,0.332,2597,5685,0.457,1425,1964,0.726,1196,2044,3240,1816,987,366,1330,2203,7864
1996-97,NBA,BOS,15,67,7,26.1,6-Jun,211,82,19905,3066,6967,0.44,467,1331,0.351,2599,5636,0.461,1649,2199,0.75,1095,2188,3283,1792,810,315,1342,1915,8248
1995-96,NBA,BOS,33,49,5,26.3,5-Jun,208,82,19905,3163,6942,0.456,539,1453,0.371,2624,5489,0.478,1630,2284,0.714,1050,2427,3477,1792,653,406,1302,2041,8495
1994-95,NBA,BOS,35,47,3,27.2,6-Jun,207,82,19805,3179,6847,0.464,362,984,0.368,2817,5863,0.48,1708,2268,0.753,1156,2320,3476,1783,612,361,1305,1975,8428
1993-94,NBA,BOS,32,50,5,27.8,6-Jun,204,82,19905,3333,7057,0.472,138,477,0.289,3195,6580,0.486,1463,2003,0.73,1037,2380,3417,1928,674,440,1242,1849,8267
1992-93,NBA,BOS,48,34,2,28.6,6-Jun,206,82,19780,3453,7093,0.487,110,383,0.287,3343,6710,0.498,1486,1912,0.777,1076,2436,3512,1999,647,458,1174,1862,8502
1991-92,NBA,BOS,51,31,1,29.2,6-Jun,207,82,19780,3543,7196,0.492,110,359,0.306,3433,6837,0.502,1549,1917,0.808,1095,2583,3678,2072,636,484,1165,1686,8745
1990-91,NBA,BOS,56,26,1,28.2,7-Jun,205,82,19805,3695,7214,0.512,109,346,0.315,3586,6868,0.522,1646,1997,0.824,1088,2697,3785,2160,672,565,1320,1695,9145
1989-90,NBA,BOS,52,30,2,30.2,7-Jun,209,82,19705,3563,7148,0.498,106,404,0.262,3457,6744,0.513,1791,2153,0.832,1066,2707,3773,2423,539,455,1256,1717,9023
1988-89,NBA,BOS,42,40,3,28.5,7-Jun,204,82,19780,3520,7143,0.493,78,309,0.252,3442,6834,0.504,1840,2349,0.783,1179,2442,3621,2189,639,418,1336,1876,8958
1987-88,NBA,BOS,57,25,1,29.8,7-Jun,205,82,19780,3599,6905,0.521,271,705,0.384,3328,6200,0.537,1846,2300,0.803,930,2440,3370,2448,620,415,1304,1804,9315
1986-87,NBA,BOS,59,23,1,29.4,7-Jun,205,82,19805,3645,7051,0.517,207,565,0.366,3438,6486,0.53,1740,2153,0.808,933,2585,3518,2421,561,526,1300,1710,9237
1985-86,NBA,BOS,67,15,1,29.3,7-Jun,204,82,19855,3718,7312,0.508,138,393,0.351,3580,6919,0.517,1785,2248,0.794,1054,2753,3807,2387,641,511,1360,1756,9359
1984-85,NBA,BOS,63,19,1,28.5,7-Jun,205,82,19705,3721,7325,0.508,110,309,0.356,3611,7016,0.515,1860,2307,0.806,1116,2630,3746,2287,645,414,1332,1781,9412
1983-84,NBA,BOS,62,20,1,28,7-Jun,204,82,19955,3616,7235,0.5,55,229,0.24,3561,7006,0.508,1907,2407,0.792,1159,2538,3697,2122,673,430,1420,1949,9194
1982-83,NBA,BOS,56,26,2,27.3,6-Jun,201,82,19830,3711,7547,0.492,39,186,0.21,3672,7361,0.499,1730,2348,0.737,1273,2532,3805,2216,789,521,1541,2062,9191
1981-82,NBA,BOS,63,19,1,27.3,7-Jun,202,82,19780,3657,7334,0.499,49,184,0.266,3608,7150,0.505,1817,2457,0.74,1253,2489,3742,2126,652,568,1452,2014,9180
1980-81,NBA,BOS,62,20,1,27,7-Jun,200,82,19780,3581,7099,0.504,65,241,0.27,3516,6858,0.513,1781,2369,0.752,1155,2424,3579,2202,683,594,1577,1990,9008
1979-80,NBA,BOS,61,21,1,27.3,6-Jun,201,82,19880,3617,7387,0.49,162,422,0.384,3455,6965,0.496,1907,2449,0.779,1227,2457,3684,2198,809,308,1539,1974,9303
1978-79,NBA,BOS,29,53,5,27.5,6-Jun,202,82,19680,3527,7347,0.48,,,,3527,7347,0.48,1820,2321,0.784,1119,2396,3515,1995,710,283,1713,1977,8874
1977-78,NBA,BOS,32,50,3,29.7,6-Jun,207,82,19830,3494,7635,0.458,,,,3494,7635,0.458,1682,2159,0.779,1235,2850,4085,1969,643,295,1652,2033,8670
1976-77,NBA,BOS,44,38,2,28.7,6-Jun,208,82,19830,3462,7775,0.445,,,,3462,7775,0.445,1648,2181,0.756,1241,2966,4207,2010,506,263,1673,2039,8572
1975-76,NBA,BOS,54,28,1,29,5-Jun,203,82,19755,3527,7901,0.446,,,,3527,7901,0.446,1654,2120,0.78,1369,2972,4341,1980,561,260,1609,2002,8708
1974-75,NBA,BOS,60,22,1,29.1,5-Jun,208,82,19755,3587,7825,0.458,,,,3587,7825,0.458,1560,1971,0.791,1315,2949,4264,2159,662,288,1625,1913,8734
1973-74,NBA,BOS,56,26,1,28.5,5-Jun,209,82,19780,3630,7969,0.456,,,,3630,7969,0.456,1677,2097,0.8,1378,3074,4452,2187,561,305,1796,1868,8937
1972-73,NBA,BOS,68,14,1,28,5-Jun,209,82,19730,3811,8511,0.448,,,,3811,8511,0.448,1616,2073,0.78,,,4802,2320,,,,1805,9238
1971-72,NBA,BOS,56,26,1,27.6,5-Jun,208,82,19730,3819,8431,0.453,,,,3819,8431,0.453,1839,2367,0.777,,,4462,2230,,,,2030,9477
1970-71,NBA,BOS,44,38,3,26.2,6-Jun,210,82,19780,3804,8616,0.442,,,,3804,8616,0.442,2000,2648,0.755,,,4833,2052,,,,2138,9608
1969-70,NBA,BOS,34,48,6,28.4,5-Jun,206,82,19780,3645,8235,0.443,,,,3645,8235,0.443,2132,2711,0.786,,,4336,1875,,,,2320,9422
1968-69,NBA,BOS,48,34,4,30.5,5-Jun,203,82,19830,3583,8316,0.431,,,,3583,8316,0.431,1936,2657,0.729,,,4840,1953,,,,2073,9102
1967-68,NBA,BOS,54,28,2,29.5,5-Jun,205,82,19705,3686,8371,0.44,,,,3686,8371,0.44,2151,2983,0.721,,,5666,1798,,,,2147,9523
1966-67,NBA,BOS,60,21,2,29.6,5-Jun,206,81,19615,3724,8325,0.447,,,,3724,8325,0.447,2216,2963,0.748,,,5703,1962,,,,2138,9664
1965-66,NBA,BOS,54,26,2,28.8,5-Jun,208,80,19225,3488,8367,0.417,,,,3488,8367,0.417,2038,2758,0.739,,,5591,1795,,,,2012,9014
1964-65,NBA,BOS,62,18,1,28.3,5-Jun,209,80,19275,3567,8609,0.414,,,,3567,8609,0.414,1890,2587,0.731,,,5748,1772,,,,2065,9024
1963-64,NBA,BOS,59,21,1,28.4,5-Jun,208,80,,3619,8770,0.413,,,,3619,8770,0.413,1804,2489,0.725,,,5736,1760,,,,2125,9042
1962-63,NBA,BOS,58,22,1,28.3,5-Jun,204,80,,3746,8779,0.427,,,,3746,8779,0.427,2012,2777,0.725,,,5818,1960,,,,2090,9504
1961-62,NBA,BOS,60,20,1,27.9,5-Jun,203,80,,3855,9109,0.423,,,,3855,9109,0.423,1977,2715,0.728,,,6080,2049,,,,1909,9687
1960-61,NBA,BOS,57,22,1,28.3,4-Jun,202,79,,3699,9295,0.398,,,,3699,9295,0.398,2062,2804,0.735,,,6131,1872,,,,2032,9460
1959-60,NBA,BOS,59,16,1,27.5,4-Jun,202,75,,3744,8971,0.417,,,,3744,8971,0.417,1849,2519,0.734,,,6014,1849,,,,1856,9337
1958-59,NBA,BOS,52,20,1,27.1,4-Jun,200,72,,3208,8116,0.395,,,,3208,8116,0.395,1963,2563,0.766,,,5601,1568,,,,1769,8379
1957-58,NBA,BOS,49,23,1,27.6,4-Jun,197,72,,3006,7759,0.387,,,,3006,7759,0.387,1904,2585,0.737,,,5402,1508,,,,1723,7916
1956-57,NBA,BOS,44,28,1,27,4-Jun,201,72,,2808,7326,0.383,,,,2808,7326,0.383,1983,2644,0.75,,,4963,1464,,,,1851,7599
1955-56,NBA,BOS,39,33,2,26.9,4-Jun,196,72,,2745,6913,0.397,,,,2745,6913,0.397,2142,2785,0.769,,,4583,1834,,,,1874,7632
1954-55,NBA,BOS,36,36,3,26.8,4-Jun,194,72,,2604,6533,0.399,,,,2604,6533,0.399,2097,2704,0.776,,,4293,1905,,,,1859,7305
1953-54,NBA,BOS,42,30,3,26.4,4-Jun,189,72,,2232,5580,0.4,,,,2232,5580,0.4,1851,2550,0.726,,,3867,1773,,,,1969,6315
1952-53,NBA,BOS,46,25,3,25.5,4-Jun,192,71,,2177,5555,0.392,,,,2177,5555,0.392,1904,2617,0.728,,,3865,1666,,,,1911,6258
1951-52,NBA,BOS,39,27,2,25,4-Jun,191,66,,2131,5510,0.387,,,,2131,5510,0.387,1765,2406,0.734,,,3750,1606,,,,1734,6027
1950-51,NBA,BOS,39,30,2,,,,69,,2065,5607,0.368,,,,2065,5607,0.368,1751,2415,0.725,,,3499,1579,,,,1881,5881
1949-50,NBA,BOS,22,46,6,,,,68,,1945,5756,0.338,,,,1945,5756,0.338,1530,2163,0.707,,,,1473,,,,1644,5420
1948-49,BAA,BOS,25,35,5,,,,60,,1706,5483,0.311,,,,1706,5483,0.311,1181,1856,0.636,,,,1135,,,,1382,4593
1947-48,BAA,BOS,20,28,3,,,,48,,1241,4323,0.287,,,,1241,4323,0.287,821,1246,0.659,,,,364,,,,1065,3303
1946-47,BAA,BOS,22,38,5,,,,60,,1397,5133,0.272,,,,1397,5133,0.272,811,1375,0.59,,,,470,,,,1202,3605
