Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
318,Gary Payton\paytoga01,2005,2005,1,77,2541,339,725,42,129,153,201,48,236,469,88,12,148,121,873,0.468,0.326,0.761,33,11.3,3.1,6.1
319,Kendrick Perkins\perkike01,2004,2011,8,454,10123,1169,2076,0,11,579,960,838,2751,457,134,646,748,1268,2917,0.563,0,0.603,22.3,6.4,6.1,1
320,Andy Phillip\phillan01,1957,1958,2,137,2640,202,550,,,130,208,,339,289,,,,242,534,0.367,,0.625,19.3,3.9,2.5,2.1
321,Gary Phillips\phillga01,1962,1962,1,67,713,110,310,,,50,86,,107,64,,,,109,270,0.355,,0.581,10.6,4,1.6,1
322,Paul Pierce\piercpa01,1999,2013,15,1102,40360,7882,17630,1823,4928,6434,7979,1008,6651,4305,1583,668,3213,3124,24021,0.447,0.37,0.806,36.6,21.8,6,3.9
323,Mickaël Piétrus\pietrmi01,2012,2012,1,42,921,104,270,61,182,20,31,18,130,25,21,10,33,81,289,0.385,0.335,0.645,21.9,6.9,3.1,0.6
324,Ed Pinckney\pincked01,1989,1994,6,340,6517,725,1359,0,3,610,757,734,1799,282,256,215,282,652,2060,0.533,0,0.806,19.2,6.1,5.3,0.8
325,Kevinn Pinkney\pinknke01,2007,2007,1,6,100,12,27,1,2,6,9,7,15,5,3,3,4,12,31,0.444,0.5,0.667,16.7,5.2,2.5,0.8
326,Vincent Poirier\poirivi01,2020,2020,1,21,114,16,33,1,2,6,7,10,34,7,2,6,6,23,39,0.485,0.5,0.857,5.4,1.9,1.6,0.3
327,Scot Pollard\pollasc01,2008,2008,1,22,173,12,23,0,0,15,22,14,37,3,3,6,5,43,39,0.522,,0.682,7.9,1.8,1.7,0.1
328,Dave Popson\popsoda01,1991,1991,1,19,64,13,32,0,0,9,10,7,14,2,1,2,6,12,35,0.406,,0.9,3.4,1.8,0.7,0.1
329,James Posey\poseyja01,2008,2008,1,74,1821,173,414,106,279,93,115,30,322,114,72,19,65,182,545,0.418,0.38,0.809,24.6,7.4,4.4,1.5
330,Vitaly Potapenko\potapvi01,1999,2002,4,273,5968,841,1723,0,1,371,544,646,1579,230,154,90,385,757,2053,0.488,0,0.682,21.9,7.5,5.8,0.8
331,Leon Powe\powele01,2007,2009,3,189,2756,410,784,0,3,427,604,337,787,71,53,76,166,423,1247,0.523,0,0.707,14.6,6.6,4.2,0.4
332,Dwight Powell\poweldw01,2015,2015,1,5,9,4,5,0,0,1,2,0,1,0,2,0,2,1,9,0.8,,0.5,1.8,1.8,0.2,0
333,Phil Pressey\pressph01,2014,2015,2,125,1732,142,427,44,171,62,94,33,185,358,98,11,128,151,390,0.333,0.257,0.66,13.9,3.1,1.5,2.9
334,Tayshaun Prince\princta01,2015,2015,1,9,198,33,59,5,8,5,6,6,30,18,5,2,4,7,76,0.559,0.625,0.833,22,8.4,3.3,2
335,Kevin Pritchard\pritcke01,1992,1992,1,11,136,16,34,0,3,14,18,1,11,30,3,4,11,17,46,0.471,0,0.778,12.4,4.2,1,2.7
336,Gabe Pruitt\pruitga01,2008,2009,2,62,461,45,140,17,60,18,23,10,51,52,20,3,24,44,125,0.321,0.283,0.783,7.4,2,0.8,0.8
337,Dino Radja\radjadi01,1994,1997,4,224,7308,1516,3052,0,3,701,954,497,1883,356,201,282,495,745,3733,0.497,0,0.735,32.6,16.7,8.4,1.6
338,Frank Ramsey\ramsefr01,1955,1964,9,623,15330,2949,7382,,,2480,3083,,3410,1134,,,,2158,8378,0.399,,0.804,24.6,13.4,5.5,1.8
339,Shavlik Randolph\randosh01,2013,2015,2,21,223,31,58,0,1,12,29,32,82,5,9,8,11,41,74,0.534,0,0.414,10.6,3.5,3.9,0.2
340,Theo Ratliff\ratlith01,2007,2007,1,2,44,1,3,0,0,3,4,2,7,0,1,3,1,6,5,0.333,,0.75,22,2.5,3.5,0
341,Allan Ray\rayal01,2007,2007,1,47,710,100,259,48,116,42,55,18,69,43,20,3,42,85,290,0.386,0.414,0.764,15.1,6.2,1.5,0.9
342,Justin Reed\reedju01,2005,2006,2,55,412,40,103,0,3,36,55,21,45,17,8,5,20,57,116,0.388,0,0.655,7.5,2.1,0.8,0.3
343,John Richter\richtjo01,1960,1960,1,66,808,113,332,,,59,117,,312,27,,,,158,285,0.34,,0.504,12.2,4.3,4.7,0.4
344,Mel Riebe\riebeme01,1948,1949,2,81,,348,1154,,,155,253,,,136,,,,234,851,0.302,,0.613,,10.5,,1.7
345,Eric Riley\rileyer01,1999,1999,1,35,337,28,54,0,0,22,31,36,99,13,9,26,26,73,78,0.519,,0.71,9.6,2.2,2.8,0.4
346,Arnie Risen\risenar01,1956,1958,3,174,3651,442,1197,,,390,563,,1199,191,,,,658,1274,0.369,,0.693,21,7.3,6.9,1.1
347,Ramón Rivas\rivasra01,1989,1989,1,28,91,12,31,0,1,16,25,9,24,3,4,1,9,21,40,0.387,0,0.64,3.3,1.4,0.9,0.1
348,Bill Roberts\roberbi01,1949,1949,1,26,,36,109,,,9,19,,,13,,,,34,81,0.33,,0.474,,3.1,,0.5
349,Fred Roberts\roberfr01,1987,1988,2,147,2111,300,600,0,9,252,318,114,352,143,38,35,157,247,852,0.5,0,0.792,14.4,5.8,2.4,1
350,Rick Robey\robeyri01,1979,1983,5,339,6442,1144,2241,0,4,541,858,622,1693,430,154,59,531,883,2829,0.51,0,0.631,19,8.3,5,1.3
351,Larry Robinson\robinla01,1992,1992,1,1,6,1,5,0,0,0,0,2,2,1,0,0,1,3,2,0.2,,,6,2,2,1
352,Nate Robinson\robinna01,2010,2011,2,81,1365,209,518,99,279,41,53,20,127,156,51,4,86,157,558,0.403,0.355,0.774,16.9,6.9,1.6,1.9
353,Rodney Rogers\rogerro01,2002,2002,1,27,626,107,222,39,95,35,50,34,107,40,16,12,42,78,288,0.482,0.411,0.7,23.2,10.7,4,1.5
354,Roy Rogers\rogerro02,1998,1998,1,9,37,3,8,0,0,1,2,0,5,1,2,4,1,6,7,0.375,,0.5,4.1,0.8,0.6,0.1
355,Kenny Rollins\rollike01,1953,1953,1,43,426,38,115,,,22,27,,45,46,,,,63,98,0.33,,0.815,9.9,2.3,1,1.1
356,Rajon Rondo\rondora01,2007,2015,9,527,17346,2402,5083,109,433,870,1418,591,2485,4474,990,71,1488,1181,5783,0.473,0.252,0.614,32.9,11,4.7,8.5
357,Curtis Rowe\rowecu01,1977,1979,3,183,4323,589,1251,,,288,404,341,1008,221,53,68,164,414,1466,0.471,,0.713,23.6,8,5.5,1.2
358,Terry Rozier\roziete01,2016,2019,4,272,5433,754,1983,335,945,247,318,159,973,631,200,52,214,316,2090,0.38,0.354,0.777,20,7.7,3.6,2.3
359,Bill Russell\russebi01,1957,1969,13,963,40726,5687,12930,,,3148,5614,,21620,4100,,,,2592,14522,0.44,,0.561,42.3,15.1,22.5,4.3
360,Ed Sadowski\sadowed01,1948,1948,1,47,,308,953,,,294,422,,,74,,,,182,910,0.323,,0.697,,19.4,,1.6
361,Kenny Sailors\sailoke01,1951,1951,1,10,,4,25,,,10,16,,3,8,,,,14,18,0.16,,0.625,,1.8,0.3,0.8
362,Frankie Sanders\sandefr01,1979,1979,1,24,216,55,119,,,22,27,22,51,17,7,3,23,25,132,0.462,,0.815,9,5.5,2.1,0.7
363,Tom Sanders\sandeto01,1961,1973,13,916,22164,3416,7988,,,1934,2520,,5798,1026,,,,3044,8766,0.428,,0.767,24.2,9.6,6.3,1.1
364,Woody Sauldsberry\sauldwo01,1966,1966,1,39,530,80,249,,,11,22,,142,15,,,,94,171,0.321,,0.5,13.6,4.4,3.6,0.4
365,Fred Saunders\saundfr01,1977,1978,2,94,1294,214,486,,,49,70,84,260,96,33,11,20,225,477,0.44,,0.7,13.8,5.1,2.8,1
366,Brian Scalabrine\scalabr01,2006,2010,5,264,3453,257,677,130,353,79,103,89,396,195,69,59,149,452,723,0.38,0.368,0.767,13.1,2.7,1.5,0.7
367,Dwayne Schintzius\schindw01,1999,1999,1,16,67,4,16,0,0,3,4,7,19,8,0,3,10,17,11,0.25,,0.75,4.2,0.7,1.2,0.5
368,Fred Scolari\scolafr01,1955,1955,1,59,619,76,249,,,39,49,,77,93,,,,76,191,0.305,,0.796,10.5,3.2,1.3,1.6
369,Charlie Scott\scottch01,1976,1978,3,156,5574,1124,2528,,,480,626,182,650,680,214,42,105,608,2728,0.445,,0.767,35.7,17.5,4.2,4.4
370,Ed Searcy\searced01,1976,1976,1,4,12,2,6,,,2,2,0,0,1,0,0,,4,6,0.333,,1,3,1.5,0,0.3
371,Jim Seminoff\seminji01,1949,1950,2,123,,238,770,,,293,407,,,478,,,,349,769,0.309,,0.72,,6.3,,3.9
372,Earl Shannon\shannea01,1949,1949,1,5,,2,11,,,1,4,,,4,,,,2,5,0.182,,0.25,,1,,0.8
373,Howie Shannon\shannho01,1950,1950,1,67,,222,646,,,143,182,,,174,,,,148,587,0.344,,0.786,,8.8,,2.6
374,Bill Sharman\sharmbi01,1952,1961,10,680,21793,4620,10807,,,3047,3451,,2683,2062,,,,1839,12287,0.428,,0.883,32,18.1,3.9,3
375,Brian Shaw\shawbr01,1989,1992,3,178,5509,809,1792,3,47,348,421,234,815,1163,195,71,443,446,1969,0.451,0.064,0.827,30.9,11.1,4.6,6.5
376,Jerry Sichting\sichtje01,1986,1988,3,184,3532,481,892,15,50,106,120,54,216,435,104,1,148,272,1083,0.539,0.3,0.883,19.2,5.9,1.2,2.4
377,Larry Siegfried\siegfla01,1964,1970,7,466,11401,1960,4747,,,1500,1755,,1318,1532,,,,1108,5420,0.413,,0.855,24.5,11.6,2.8,3.3
378,Paul Silas\silaspa01,1973,1976,4,325,10540,1367,3112,,,1010,1394,1047,4004,864,179,75,,899,3744,0.439,,0.725,32.4,11.5,12.3,2.7
379,Xavier Silas\silasxa01,2018,2018,1,2,7,0,3,0,2,0,0,1,2,0,1,0,0,1,0,0,0,,3.5,0,1,0
380,Connie Simmons\simmoco01,1947,1948,2,92,,354,1134,,,160,243,,,79,,,,212,868,0.312,,0.658,,9.4,,0.9
381,Johnny Simmons\simmojo01,1947,1947,1,60,,120,429,,,78,127,,,29,,,,78,318,0.28,,0.614,,5.3,,0.5
382,Marcus Smart\smartma01,2015,2020,6,394,11409,1296,3469,575,1808,721,932,355,1409,1594,615,148,670,1027,3888,0.374,0.318,0.774,29,9.9,3.6,4
383,Charles Smith\smithch02,1990,1991,2,65,549,62,140,0,7,56,81,14,71,109,36,3,39,82,180,0.443,0,0.691,8.4,2.8,1.1,1.7
384,Derek Smith\smithde02,1991,1991,1,2,16,1,4,0,1,3,4,0,0,5,1,1,1,3,5,0.25,0,0.75,8,2.5,0,2.5
385,Doug Smith\smithdo03,1996,1996,1,17,92,14,39,0,0,5,8,12,22,4,3,0,11,21,33,0.359,,0.625,5.4,1.9,1.3,0.2
386,Garfield Smith\smithga01,1971,1972,2,63,415,70,182,,,28,87,,132,17,,,,75,168,0.385,,0.322,6.6,2.7,2.1,0.3
387,Michael Smith\smithmi01,1990,1991,2,112,1009,231,486,8,52,75,91,61,156,122,15,3,91,78,545,0.475,0.154,0.824,9,4.9,1.4,1.1
388,Art Spector\spectar01,1947,1950,4,169,,322,1149,,,208,362,,,143,,,,351,852,0.28,,0.575,,5,,0.8
389,Kevin Stacom\stacoke01,1975,1979,5,296,3878,679,1601,,,210,272,168,443,440,96,14,95,325,1568,0.424,,0.772,13.1,5.3,1.5,1.5
390,Ed Stanczak\stanced01,1951,1951,1,19,,12,50,,,36,45,,36,7,,,,48,60,0.24,,0.8,,3.2,1.9,0.4
391,Michael Stewart\stewami01,2004,2004,1,17,71,2,5,0,0,1,2,3,11,0,1,2,2,13,5,0.4,,0.5,4.2,0.3,0.6,0
392,Greg Stiemsma\stiemgr01,2012,2012,1,55,766,66,121,0,0,29,41,48,177,28,37,85,33,144,161,0.545,,0.707,13.9,2.9,3.2,0.5
393,Bryant Stith\stithbr01,2001,2001,1,78,2504,245,611,91,242,175,207,65,284,168,93,14,90,182,756,0.401,0.376,0.845,32.1,9.7,3.6,2.2
394,Erick Strickland\stricer01,2002,2002,1,79,1643,190,488,95,247,131,155,22,213,184,56,1,94,145,606,0.389,0.385,0.845,20.8,7.7,2.7,2.3
395,Derek Strong\stronde01,1995,1995,1,70,1344,149,329,2,7,141,172,136,375,44,24,13,79,143,441,0.453,0.286,0.82,19.2,6.3,5.4,0.6
396,Gene Stump\stumpge01,1948,1949,2,99,,252,827,,,116,167,,,74,,,,168,620,0.305,,0.695,,6.3,,0.7
397,Jared Sullinger\sullija01,2013,2016,4,258,6414,1157,2638,138,500,404,556,674,1979,474,176,160,328,767,2856,0.439,0.276,0.727,24.9,11.1,7.7,1.8
398,Bruno Šundov\sundobr01,2003,2003,1,26,138,14,56,4,16,0,2,8,28,7,6,3,9,24,32,0.25,0.25,0,5.3,1.2,1.1,0.3
399,Bennie Swain\swainbe01,1959,1959,1,58,708,99,244,,,67,110,,262,29,,,,127,265,0.406,,0.609,12.2,4.6,4.5,0.5
400,Dan Swartz\swartda01,1963,1963,1,39,335,57,150,,,61,72,,88,21,,,,92,175,0.38,,0.847,8.6,4.5,2.3,0.5
401,Larry Sykes\sykesla01,1996,1996,1,1,2,0,0,0,0,0,0,1,2,0,0,0,1,0,0,,,,2,0,2,0
402,Brett Szabo\szabobr01,1997,1997,1,70,662,54,121,0,1,45,61,56,165,17,16,32,41,119,153,0.446,0,0.738,9.5,2.2,2.4,0.2
403,Wally Szczerbiak\szczewa02,2006,2007,2,64,2074,362,810,88,218,228,254,57,221,156,37,7,104,125,1040,0.447,0.404,0.898,32.4,16.3,3.5,2.4
404,Žan Tabak\tabakza01,1998,1998,1,18,232,26,55,0,0,7,13,25,58,12,5,11,17,46,59,0.473,,0.538,12.9,3.3,3.2,0.7
405,Earl Tatum\tatumea01,1979,1979,1,3,38,8,20,,,4,5,1,4,1,0,1,3,7,20,0.4,,0.8,12.7,6.7,1.3,0.3
406,Jayson Tatum\tatumja01,2018,2020,3,218,6936,1362,2984,388,973,633,765,177,1297,470,250,168,368,459,3745,0.456,0.399,0.827,31.8,17.2,5.9,2.2
407,Sebastian Telfair\telfase01,2007,2007,1,78,1578,176,474,37,128,90,110,17,108,218,43,11,98,166,479,0.371,0.289,0.818,20.2,6.1,1.4,2.8
408,Jason Terry\terryja01,2013,2013,1,79,2124,281,648,123,331,114,131,19,159,198,66,11,102,110,799,0.434,0.372,0.87,26.9,10.1,2,2.5
409,Tom Thacker\thackto01,1968,1968,1,65,782,114,272,,,43,84,,161,69,,,,165,271,0.419,,0.512,12,4.2,2.5,1.1
410,Daniel Theis\theisda01,2018,2020,3,187,3226,488,881,70,206,198,263,307,879,219,86,165,137,519,1244,0.554,0.34,0.753,17.3,6.7,4.7,1.2
411,David Thirdkill\thirdda01,1986,1987,2,66,474,64,134,0,2,60,104,32,89,17,13,3,24,67,188,0.478,0,0.577,7.2,2.8,1.3,0.3
412,Isaiah Thomas\thomais02,2015,2017,3,179,5758,1390,3140,460,1250,1182,1330,96,492,1070,173,22,484,379,4422,0.443,0.368,0.889,32.2,24.7,2.7,6
413,Jamel Thomas\thomaja01,2000,2000,1,3,19,5,10,0,1,1,1,0,2,2,0,0,1,0,11,0.5,0,1,6.3,3.7,0.7,0.7
414,John Thomas\thomajo02,1998,1998,1,33,368,41,80,0,0,26,33,32,70,13,19,9,33,65,108,0.513,,0.788,11.2,3.3,2.1,0.4
415,John Thompson\thompjo01,1965,1966,2,74,771,98,239,,,66,111,,260,19,,,,156,262,0.41,,0.595,10.4,3.5,3.5,0.3
416,Marcus Thornton\thornma01,2015,2015,1,39,640,127,305,52,124,42,51,19,73,34,21,7,22,35,348,0.416,0.419,0.824,16.4,8.9,1.9,0.9
417,Darren Tillis\tillida01,1983,1983,1,15,44,7,23,0,1,2,6,4,9,2,0,2,4,8,16,0.304,0,0.333,2.9,1.1,0.6,0.1
418,Lou Tsioropoulos\tsiorlo01,1957,1959,3,157,2977,337,1070,,,236,329,,751,165,,,,451,910,0.315,,0.717,19,5.8,4.8,1.1
419,Andre Turner\turnean01,1987,1987,1,3,18,2,5,0,1,0,0,1,2,1,0,0,5,1,4,0.4,0,,6,1.3,0.7,0.3
420,Evan Turner\turneev01,2015,2016,2,163,4531,663,1499,53,202,254,320,90,814,808,163,47,367,319,1633,0.442,0.262,0.794,27.8,10,5,5
421,Wayne Turner\turnewa01,2000,2000,1,3,41,1,6,0,0,2,6,1,3,5,0,0,3,4,4,0.167,,0.333,13.7,1.3,1,1.7
422,Kelvin Upshaw\upshake01,1989,1990,2,37,604,85,188,4,15,18,26,9,49,125,21,4,54,81,192,0.452,0.267,0.692,16.3,5.2,1.3,3.4
423,Jarvis Varnado\varnaja01,2013,2013,1,5,18,2,4,0,0,2,4,1,3,1,1,0,1,1,6,0.5,,0.5,3.6,1.2,0.6,0.2
424,Virgil Vaughn\vaughvi01,1947,1947,1,17,,15,78,,,15,28,,,10,,,,18,45,0.192,,0.536,,2.6,,0.6
425,Sam Vincent\vincesa01,1986,1987,2,103,806,119,298,1,4,116,125,16,75,128,30,5,82,92,355,0.399,0.25,0.928,7.8,3.4,0.7,1.2
426,Stojko Vranković\vrankst01,1991,1992,2,50,276,39,84,0,0,17,30,23,79,9,1,46,34,65,95,0.464,,0.567,5.5,1.9,1.6,0.2
427,Von Wafer\wafervo01,2011,2011,1,58,553,67,159,18,67,32,38,7,49,35,18,5,20,39,184,0.421,0.269,0.842,9.5,3.2,0.8,0.6
428,Antoine Walker\walkean02,1997,2005,8,552,21654,4390,10627,937,2815,1669,2523,1319,4782,2266,828,317,1782,1717,11386,0.413,0.333,0.662,39.2,20.6,8.7,4.1
429,Brady Walker\walkebr01,1950,1951,2,85,,231,616,,,77,123,,31,117,,,,111,539,0.375,,0.626,,6.3,1.8,1.4
430,Henry Walker\walkebi01,2009,2010,2,37,245,39,64,0,1,18,25,8,34,16,6,2,20,55,96,0.609,0,0.72,6.6,2.6,0.9,0.4
431,Kemba Walker\walkeke02,2020,2020,1,50,1592,350,832,165,438,195,225,33,204,247,47,25,107,77,1060,0.421,0.377,0.867,31.8,21.2,4.1,4.9
432,Gerald Wallace\wallage01,2014,2015,2,90,1702,130,264,20,67,53,116,53,269,154,88,18,115,98,333,0.492,0.299,0.457,18.9,3.7,3,1.7
433,Rasheed Wallace\wallara01,2010,2010,1,79,1780,266,650,82,290,96,125,42,325,80,80,70,63,222,710,0.409,0.283,0.768,22.5,9,4.1,1
434,Red Wallace\wallare01,1947,1947,1,24,,55,224,,,21,48,,,20,,,,42,131,0.246,,0.438,,5.5,,0.8
435,Bill Walton\waltobi01,1986,1987,2,90,1658,241,437,0,0,152,217,147,575,174,39,116,166,233,634,0.551,,0.7,18.4,7,6.4,1.9
436,Brad Wanamaker\wanambr01,2019,2020,2,99,1558,186,423,49,129,132,144,22,165,214,64,14,89,154,553,0.44,0.38,0.917,15.7,5.6,1.7,2.2
437,Gerry Ward\wardge01,1965,1965,1,3,30,2,18,,,1,1,,5,6,,,,6,5,0.111,,1,10,1.7,1.7,2
438,Kermit Washington\washike01,1978,1978,1,32,866,137,263,,,102,136,105,335,42,28,40,54,114,376,0.521,,0.75,27.1,11.8,10.5,1.3
439,Tremont Waters\watertr01,2020,2020,1,10,89,12,35,3,17,6,6,0,9,12,5,2,10,11,33,0.343,0.176,1,8.9,3.3,0.9,1.2
440,Ron Watts\wattsro01,1966,1967,2,28,92,12,46,,,16,23,,39,2,,,,17,40,0.261,,0.696,3.3,1.4,1.4,0.1
441,Marcus Webb\webbma01,1993,1993,1,9,51,13,25,0,1,13,21,5,10,2,1,2,5,11,39,0.52,0,0.619,5.7,4.3,1.1,0.2
442,Scott Wedman\wedmasc01,1983,1987,5,271,4026,757,1630,38,107,137,190,196,573,281,110,47,179,434,1689,0.464,0.355,0.721,14.9,6.2,2.1,1
443,Rick Weitzman\weitzri01,1968,1968,1,25,75,12,46,,,9,13,,10,8,,,,8,33,0.261,,0.692,3,1.3,0.4,0.3
444,Jiří Welsch\welscji01,2004,2005,2,136,3304,399,932,101,280,262,347,80,435,267,140,12,187,281,1161,0.428,0.361,0.755,24.3,8.5,3.2,2
445,Matt Wenstrom\wenstma01,1994,1994,1,11,37,6,10,0,0,6,10,6,12,0,0,2,4,7,18,0.6,,0.6,3.4,1.6,1.1,0
446,David Wesley\wesleda01,1995,1997,3,207,6475,922,2023,270,677,513,670,166,645,1193,344,33,457,572,2627,0.456,0.399,0.766,31.3,12.7,3.1,5.8
447,Delonte West\westde01,2005,2011,4,203,5597,760,1676,185,496,286,340,109,599,750,199,98,327,447,1991,0.453,0.373,0.841,27.6,9.8,3,3.7
448,Paul Westphal\westppa01,1973,1975,3,224,3228,669,1357,,,298,395,93,373,475,117,67,,453,1636,0.493,,0.754,14.4,7.3,1.7,2.1
449,Skippy Whitaker\whitask01,1955,1955,1,3,15,1,6,,,0,0,,1,1,,,,4,2,0.167,,,5,0.7,0.3,0.3
450,D.J. White\whitedj01,2013,2013,1,12,86,12,23,0,0,5,9,4,13,4,1,6,2,5,29,0.522,,0.556,7.2,2.4,1.1,0.3
451,Jo Jo White\whitejo01,1970,1979,10,717,26770,5648,12782,,,1892,2270,407,3071,3686,561,95,259,1776,13188,0.442,,0.833,37.3,18.4,4.3,5.1
452,Sidney Wicks\wickssi01,1977,1978,2,163,5055,897,1939,,,527,793,491,1497,340,131,107,226,649,2321,0.463,,0.665,31,14.2,9.2,2.1
453,Chris Wilcox\wilcoch01,2012,2013,2,89,1311,174,260,0,1,63,97,93,302,34,43,37,64,189,411,0.669,0,0.649,14.7,4.6,3.4,0.4
454,Dominique Wilkins\wilkido01,1995,1995,1,77,2423,496,1169,112,289,266,340,157,401,166,61,14,173,130,1370,0.424,0.388,0.782,31.5,17.8,5.2,2.2
455,Art Williams\williar01,1971,1974,4,303,4058,494,1098,,,220,290,20,758,959,44,3,,622,1208,0.45,,0.759,13.4,4,2.5,3.2
456,Earl Williams\williea01,1979,1979,1,20,273,54,123,,,14,24,41,105,12,12,9,20,41,122,0.439,,0.583,13.7,6.1,5.3,0.6
457,Eric Williams\willier01,1996,2004,7,462,11638,1417,3337,148,457,1266,1730,559,1607,678,421,81,592,1169,4248,0.425,0.324,0.732,25.2,9.2,3.5,1.5
458,Grant Williams\willigr01,2020,2020,1,62,970,80,192,21,85,37,51,58,165,62,28,33,46,149,218,0.417,0.247,0.725,15.6,3.5,2.7,1
459,Lorenzo Williams\willilo01,1993,1993,1,22,151,16,31,0,0,2,7,13,44,5,4,14,6,23,34,0.516,,0.286,6.9,1.5,2,0.2
460,Ray Williams\willira01,1985,1985,1,23,459,55,143,6,23,31,46,16,57,90,30,5,42,56,147,0.385,0.261,0.674,20,6.4,2.5,3.9
461,Robert Williams\williro04,2019,2020,2,55,606,78,113,0,0,23,40,61,189,29,29,68,30,76,179,0.69,,0.575,11,3.3,3.4,0.5
462,Sean Williams\willise01,2012,2012,1,3,42,2,6,0,0,7,7,4,12,3,3,3,3,4,11,0.333,,1,14,3.7,4,1
463,Shammond Williams\willish01,2003,2003,1,51,1169,134,338,56,159,48,57,12,110,128,61,3,61,84,372,0.396,0.352,0.842,22.9,7.3,2.2,2.5
464,Shelden Williams\willish02,2010,2010,1,54,597,63,121,0,1,75,98,47,146,21,13,21,30,85,201,0.521,0,0.765,11.1,3.7,2.7,0.4
465,Sly Williams\willisl01,1986,1986,1,6,54,5,21,0,4,7,12,7,15,2,1,1,7,15,17,0.238,0,0.583,9,2.8,2.5,0.3
466,Terrence Williams\willite01,2013,2013,1,24,318,48,97,5,15,9,21,4,44,38,11,2,22,13,110,0.495,0.333,0.429,13.3,4.6,1.8,1.6
467,Willie Williams\williwi01,1971,1971,1,16,56,6,32,,,3,5,,10,2,,,,8,15,0.188,,0.6,3.5,0.9,0.6,0.1
468,Bobby Wilson\wilsobo03,1977,1977,1,25,131,19,59,,,11,13,3,9,14,3,0,,19,49,0.322,,0.846,5.2,2,0.4,0.6
469,Joe Wolf\wolfjo01,1993,1993,1,2,9,0,1,0,0,1,2,1,3,0,0,1,2,2,1,0,,0.5,4.5,0.5,1.5,0
470,Rubén Wolkowyski\wolkoru01,2003,2003,1,7,24,2,4,0,1,1,4,0,1,1,0,0,1,3,5,0.5,0,0.25,3.4,0.7,0.1,0.1
471,Brandan Wright\wrighbr03,2015,2015,1,8,86,12,21,0,0,2,4,7,17,8,1,5,5,4,26,0.571,,0.5,10.8,3.3,2.1,1
472,A.J. Wynder\wyndeaj01,1991,1991,1,6,39,3,12,0,1,6,8,1,3,8,1,0,4,1,12,0.25,0,0.75,6.5,2,0.5,1.3
473,Guerschon Yabusele\yabusgu01,2018,2019,2,74,486,61,138,21,65,30,44,40,105,31,12,12,27,55,173,0.442,0.323,0.682,6.6,2.3,1.4,0.4
474,James Young\youngja01,2015,2017,3,89,751,72,196,35,127,23,42,19,94,26,24,5,14,54,202,0.367,0.276,0.548,8.4,2.3,1.1,0.3
475,Tyler Zeller\zellety01,2015,2017,3,193,2966,556,1067,0,1,263,333,251,767,184,35,95,142,363,1375,0.521,0,0.79,15.4,7.1,4,1
